"annee","jours_glissants","code_station","VCNx_annuel_spe"
"2017",10,"D015850001",3.61096605744125
"2018",10,"D015850001",3.75195822454308
"2019",10,"D015850001",4.09660574412533
"2020",10,"D015850001",4.25065274151436
"2021",10,"D015850001",4.10443864229765
"2022",10,"D015850001",2.1644908616188
"2023",10,"D015850001",2.59268929503916
"2024",10,"D015850001",5.05221932114883
"2000",10,"D019701001",1.58333333333333
"2001",10,"D019701001",1.32291666666667
"2002",10,"D019701001",1.28125
"2003",10,"D019701001",0.902777777777778
"2004",10,"D019701001",0.817708333333333
"2005",10,"D019701001",0.880208333333333
"2006",10,"D019701001",0.942708333333333
"2007",10,"D019701001",1.25
"2008",10,"D019701001",1.140625
"2009",10,"D019701001",0.713541666666667
"2010",10,"D019701001",1.02083333333333
"2011",10,"D019701001",1.01041666666667
"2012",10,"D019701001",1.05208333333333
"2013",10,"D019701001",0.833333333333333
"2014",10,"D019701001",1.04166666666667
"2015",10,"D019701001",0.979166666666667
"2016",10,"D019701001",1.28645833333333
"2017",10,"D019701001",0.828125
"2018",10,"D019701001",0.9375
"2019",10,"D019701001",1
"2020",10,"D019701001",0.828125
"2021",10,"D019701001",1.25
"2022",10,"D019701001",0.5
"2023",10,"D019701001",1.63541666666667
"2024",10,"D019701001",2.546875
"2000",10,"D020601001",10.0008695652174
"2001",10,"D020601001",9.33565217391304
"2002",10,"D020601001",4.58434782608696
"2003",10,"D020601001",3.21304347826087
"2004",10,"D020601001",3.78173913043478
"2005",10,"D020601001",3.21739130434783
"2006",10,"D020601001",3.70869565217391
"2007",10,"D020601001",4.87826086956522
"2008",10,"D020601001",3.53652173913043
"2009",10,"D020601001",3.67217391304348
"2010",10,"D020601001",4.30608695652174
"2011",10,"D020601001",3.77304347826087
"2012",10,"D020601001",3.6095652173913
"2013",10,"D020601001",4.38782608695652
"2014",10,"D020601001",4.99826086956522
"2015",10,"D020601001",4.30434782608696
"2016",10,"D020601001",2.65478260869565
"2017",10,"D020601001",1.64173913043478
"2018",10,"D020601001",1.5304347826087
"2019",10,"D020601001",1.75913043478261
"2020",10,"D020601001",1.57391304347826
"2021",10,"D020601001",2.90695652173913
"2022",10,"D020601001",1.75565217391304
"2023",10,"D020601001",2.13217391304348
"2024",10,"D020601001",3.84695652173913
"2000",10,"E172601002",7.96937984496124
"2001",10,"E172601002",10.6841085271318
"2002",10,"E172601002",8.55426356589147
"2003",10,"E172601002",6.67906976744186
"2004",10,"E172601002",5.16124031007752
"2005",10,"E172601002",4.50116279069767
"2006",10,"E172601002",4.93023255813953
"2007",10,"E172601002",3.39883720930233
"2008",10,"E172601002",5.12093023255814
"2009",10,"E172601002",7.35968992248062
"2010",10,"E172601002",5.59991386735573
"2011",10,"E172601002",5.69767441860465
"2012",10,"E172601002",7.70581395348837
